,Player Name_x,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SOT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Rec,season
161,Ryan Fraser,18,0,2,2,1,240,372,13,6,21.6,0,4,5,1,431,4,3,241,292,2020-2021
162,Fred,30,1,0,5,0,1590,1828,25,7,24.1,0,81,89,49,2123,30,24,1227,1496,2020-2021
163,Ryan Fredericks,14,1,1,2,0,205,282,4,2,14.8,0,9,7,6,353,7,3,154,198,2020-2021
164,Christian Fuchs,9,0,0,4,0,476,597,4,0,27.4,0,18,15,6,681,2,0,358,435,2020-2021
165,Darnell Furlong,35,1,3,5,0,682,1204,26,5,13.8,0,45,44,39,1551,24,10,548,746,2020-2021
166,Conor Gallagher,30,2,2,11,0,737,960,29,7,22.0,0,81,97,47,1313,55,30,673,757,2020-2021
167,Eric García,6,0,0,0,0,325,342,2,0,22.5,0,8,7,4,381,0,0,279,307,2020-2021
168,Dwight Gayle,18,1,1,0,0,96,118,16,6,10.8,1,2,7,3,155,2,1,56,104,2020-2021
169,Jean-Philippe Gbamin,1,0,0,0,0,6,9,0,0,,0,1,0,1,14,1,0,9,8,2020-2021
170,David de Gea,26,0,0,0,0,464,592,0,0,,0,0,0,0,639,1,1,284,265,2020-2021
171,Anwar El Ghazi,28,10,0,2,0,432,628,60,26,21.7,6,16,23,11,841,49,26,499,648,2020-2021
172,Kieran Gibbs,10,0,0,1,1,222,313,1,0,12.0,0,15,10,8,394,2,2,176,192,2020-2021
173,Morgan Gibbs-White,11,1,0,1,0,193,236,10,4,21.1,0,9,12,6,302,13,8,205,237,2020-2021
174,Billy Gilmour,5,0,0,0,0,198,228,1,0,22.6,0,4,7,3,248,4,1,136,201,2020-2021
175,Olivier Giroud,17,4,0,1,0,157,223,29,10,11.6,0,4,7,4,307,2,2,121,229,2020-2021
176,Ben Godfrey,31,0,2,4,0,1109,1329,14,2,16.1,0,55,41,56,1692,12,9,826,964,2020-2021
177,André Gomes,28,0,1,3,0,752,908,14,3,26.7,0,35,58,19,1084,48,31,643,771,2020-2021
178,Joe Gomez,7,0,0,0,0,500,558,0,0,,0,3,4,3,603,4,4,431,429,2020-2021
179,Anthony Gordon,3,0,0,0,0,22,27,0,0,,0,3,2,1,45,6,2,26,27,2020-2021
180,Karlan Grant,21,1,0,1,0,164,234,16,9,15.7,1,5,4,7,354,16,9,177,238,2020-2021
181,Demarai Gray,1,0,0,0,0,7,11,1,0,29.7,1,1,0,0,14,1,0,8,10,2020-2021
182,Jack Grealish,26,6,10,6,0,872,1105,50,17,17.0,2,31,24,20,1376,101,65,926,1017,2020-2021
183,Mason Greenwood,31,7,2,2,0,614,747,67,23,16.8,0,13,22,9,960,66,36,670,816,2020-2021
184,Pascal Groß,34,3,8,3,0,1281,1705,28,4,22.2,6,45,53,25,1915,20,9,1011,1260,2020-2021
185,Kamil Grosicki,3,0,1,0,0,30,45,3,0,22.7,0,2,8,1,60,1,0,39,37,2020-2021
186,Vicente Guaita,37,0,0,2,0,610,1081,0,0,,0,1,1,0,1152,0,0,548,388,2020-2021
187,İlkay Gündoğan,28,13,2,1,0,1583,1751,52,21,17.3,4,25,39,13,1928,39,27,1183,1593,2020-2021
188,Antwoine Hackford,1,0,0,0,0,1,1,1,0,10.9,0,0,0,0,3,0,0,2,2,2020-2021
189,Sébastien Haller,16,3,0,0,0,158,248,25,11,10.2,0,14,20,7,373,13,9,176,294,2020-2021
190,Rekeem Harper,2,0,0,0,0,14,17,1,1,26.1,0,0,0,2,23,2,2,10,14,2020-2021
191,Jack Harrison,36,8,8,2,0,778,1182,45,19,15.6,1,63,59,30,1544,78,42,933,1088,2020-2021
192,Kortney Hause,7,1,0,2,0,173,232,5,1,7.9,0,4,3,4,314,0,0,146,139,2020-2021
193,Kai Havertz,27,4,3,2,0,658,788,33,16,13.1,0,18,27,25,1007,37,19,579,784,2020-2021
194,Isaac Hayden,24,0,0,8,0,657,834,16,2,20.4,0,52,35,32,1070,10,7,465,532,2020-2021
195,Michael Hector,4,0,0,2,0,148,187,1,0,10.7,0,3,6,4,211,3,3,126,147,2020-2021
196,Ahmed Hegazi,1,0,0,0,0,38,57,0,0,,0,0,0,2,70,0,0,28,32,2020-2021
197,Dean Henderson,13,0,0,3,0,240,324,0,0,,0,1,2,0,348,0,0,185,122,2020-2021
198,Jordan Henderson,21,1,1,0,0,1597,1855,14,4,19.1,0,24,26,12,1996,15,9,1389,1544,2020-2021
199,Jeff Hendrick,22,2,1,3,1,433,544,10,2,18.7,0,8,13,14,652,15,9,351,426,2020-2021
200,Pablo Hernández,16,0,2,1,0,299,403,15,3,19.0,0,5,16,2,445,11,10,257,348,2020-2021
201,Son Heung-min,37,17,10,0,0,929,1223,67,35,17.5,1,32,72,28,1506,72,39,882,1091,2020-2021
202,Ki-Jana Hoever,12,0,0,1,0,268,361,1,0,17.7,0,14,22,2,440,22,13,239,261,2020-2021
203,Rob Holding,30,0,1,2,0,1578,1819,14,2,12.8,0,43,35,37,2093,11,8,1350,1486,2020-2021
204,Mason Holgate,28,1,0,9,0,961,1256,5,3,11.8,0,56,50,37,1517,11,8,756,871,2020-2021
205,Conor Hourihane,4,1,1,0,0,122,164,5,2,22.7,2,0,2,3,177,0,0,82,116,2020-2021
206,Callum Hudson-Odoi,23,2,3,0,0,533,659,23,6,19.3,0,23,21,15,775,29,15,477,604,2020-2021
207,Niall Huggins,1,0,0,0,0,16,19,0,0,,0,0,1,0,21,0,0,13,12,2020-2021
208,Pierre Højbjerg,38,2,4,9,0,2455,2783,14,7,24.0,0,98,129,51,3116,32,23,1794,2224,2020-2021
209,Odion Ighalo,1,0,0,0,0,2,2,0,0,,0,0,1,0,4,0,0,3,4,2020-2021
210,Kelechi Iheanacho,25,12,2,1,0,407,521,58,24,17.6,1,12,17,14,719,44,32,452,580,2020-2021
211,Danny Ings,29,12,4,1,0,337,527,55,24,15.9,0,22,28,39,817,59,30,459,574,2020-2021
212,Branislav Ivanović,13,0,0,2,0,267,320,4,1,7.7,0,14,13,11,394,0,0,150,207,2020-2021
213,Alex Iwobi,30,1,2,0,0,528,698,15,3,18.7,0,27,25,20,883,71,45,576,617,2020-2021
214,José Izquierdo,1,0,0,0,0,8,9,1,1,32.6,0,0,0,0,13,1,0,8,8,2020-2021
215,Phil Jagielka,10,0,0,1,1,148,209,0,0,,0,5,7,11,266,0,0,121,122,2020-2021
216,Alireza Jahanbakhsh,21,0,1,3,0,188,266,18,3,18.1,0,9,12,8,331,17,11,219,254,2020-2021
217,Daniel James,15,3,1,3,0,238,312,17,6,17.2,0,15,18,10,426,23,11,245,304,2020-2021
218,Reece James,32,1,2,3,0,1706,2028,34,11,21.6,4,55,44,36,2297,51,34,1292,1601,2020-2021
219,Alexandre Jankewitz,2,0,0,0,1,2,3,0,0,,0,2,1,0,6,0,0,3,4,2020-2021
220,Daniel Jebbison,4,1,0,0,0,24,36,4,2,11.7,0,6,7,6,73,4,2,33,39,2020-2021
221,Gabriel Jesus,29,9,4,2,0,631,751,55,16,13.7,0,17,28,16,1004,70,48,635,799,2020-2021
222,Raúl Jiménez,10,4,0,0,0,207,265,26,10,16.2,0,3,7,2,375,21,10,233,303,2020-2021
223,Joelinton,31,4,2,3,0,427,598,43,19,15.4,0,33,37,30,934,67,37,513,650,2020-2021
224,Ben Johnson,14,1,0,1,0,157,227,3,1,22.5,0,11,9,5,275,6,4,155,163,2020-2021
225,Sam Johnstone,37,0,1,1,0,655,1297,0,0,,0,0,0,0,1416,0,0,659,465,2020-2021
226,Curtis Jones,24,1,2,2,0,900,983,19,9,19.4,0,16,25,13,1133,34,22,798,910,2020-2021
227,Jorginho,28,7,1,2,0,1594,1789,5,0,47.9,0,57,76,33,2015,25,17,1144,1535,2020-2021
228,Willian José,17,1,0,0,0,244,306,19,7,15.1,0,2,4,6,387,11,8,205,291,2020-2021
229,Diogo Jota,19,9,0,2,0,321,449,46,26,14.4,0,12,29,9,626,43,21,425,492,2020-2021
230,James Justin,23,2,1,4,0,1004,1287,10,3,14.8,0,61,41,36,1551,32,18,739,944,2020-2021
231,Ozan Kabak,9,0,0,3,0,520,588,1,0,4.6,0,19,9,2,669,5,3,443,477,2020-2021
232,Aboubakar Kamara,11,0,0,1,1,86,127,4,2,20.4,0,2,5,6,171,9,4,108,128,2020-2021
233,Harry Kane,35,23,14,1,0,652,965,133,47,18.3,14,22,26,28,1393,100,52,809,1072,2020-2021
234,N'Golo Kanté,30,0,2,7,0,1325,1542,10,3,21.3,0,79,56,42,1842,38,26,982,1227,2020-2021
235,Moise Kean,2,0,0,0,0,6,8,1,0,25.8,0,0,0,0,15,3,0,11,12,2020-2021
236,Michael Keane,35,3,1,4,0,1691,1943,16,6,12.7,0,28,31,46,2287,7,4,1333,1571,2020-2021
237,Neeskens Kebano,5,0,0,0,0,32,43,6,0,20.0,1,0,1,3,65,5,3,46,46,2020-2021
