,Player Name,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SoT,distance,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
283,Solly March,19,0,1,2,0,451,622,21,8,18.5,1,25,19,16,780,28,16,412,492,2019-2020
284,Pablo Marí,2,0,0,0,0,85,100,0,0,,0,2,0,0,114,0,0,70,83,2019-2020
285,Adrian Mariappa,20,0,0,6,1,426,615,3,0,11.1,0,20,30,22,780,1,1,284,331,2019-2020
286,Anthony Martial,32,17,6,1,0,580,731,79,38,16.5,0,15,16,18,1042,97,50,705,886,2019-2020
287,David Martin,5,0,0,1,0,56,124,0,0,,0,0,0,0,132,0,0,49,31,2019-2020
288,Josh Martin,5,0,0,0,0,12,15,1,1,13.0,0,1,0,1,19,0,0,13,13,2019-2020
289,Gabriel Martinelli,14,3,0,1,0,82,140,12,5,12.9,0,20,20,15,273,32,9,168,181,2019-2020
290,Emiliano Martínez,9,0,0,2,0,212,293,0,0,,0,0,0,0,309,0,0,183,136,2019-2020
291,Adam Masina,26,1,0,3,0,574,962,15,3,21.1,1,38,37,26,1197,16,9,468,516,2019-2020
292,Arthur Masuaku,17,0,1,6,1,476,609,5,2,27.7,0,41,39,19,767,44,27,392,430,2019-2020
293,Juan Mata,19,0,2,1,0,459,543,10,2,18.5,2,7,7,5,600,12,5,357,499,2019-2020
294,Nemanja Matić,21,0,2,3,0,1106,1273,7,2,26.2,0,46,43,21,1437,24,20,842,1021,2019-2020
295,Joël Matip,9,1,0,0,0,470,558,4,1,10.2,0,13,11,8,640,2,2,426,419,2019-2020
296,Neal Maupay,37,10,3,3,0,543,699,94,36,15.5,0,20,29,24,1044,68,24,604,747,2019-2020
297,James McArthur,37,0,3,6,0,1166,1513,28,6,18.5,0,88,106,69,1980,44,29,979,1186,2019-2020
298,Oliver McBurnie,36,6,0,4,0,376,633,50,24,10.3,0,37,40,25,935,44,22,365,634,2019-2020
299,Alex McCarthy,28,0,0,0,0,459,826,0,0,,0,1,1,1,888,2,2,431,351,2019-2020
300,James McCarthy,33,0,0,9,0,625,826,12,3,22.2,0,82,76,24,1040,10,7,417,543,2019-2020
301,John McGinn,28,3,3,3,0,600,794,55,20,21.3,1,53,62,25,1099,72,53,637,676,2019-2020
302,David McGoldrick,28,2,2,2,0,461,629,46,20,14.5,0,41,20,14,895,48,31,453,652,2019-2020
303,Michael McGovern,2,0,0,0,0,30,51,0,0,,0,0,0,0,57,0,0,27,19,2019-2020
304,Kenny McLean,37,1,1,5,0,1362,1760,30,10,21.6,2,44,42,32,2107,44,31,1271,1444,2019-2020
305,Dwight McNeil,38,2,6,5,0,894,1305,48,14,24.0,10,47,71,60,1720,142,77,1066,1041,2019-2020
306,Scott McTominay,27,4,1,2,0,822,1028,29,10,20.9,0,43,32,25,1293,46,31,696,849,2019-2020
307,Ben Mee,32,1,1,7,0,906,1272,17,6,9.0,0,41,29,42,1633,7,6,717,789,2019-2020
308,Benjamin Mendy,19,0,2,3,0,1107,1309,10,1,22.5,0,18,27,10,1434,27,19,1010,1069,2019-2020
309,Nampalys Mendy,7,0,0,0,0,192,212,1,1,28.9,0,7,5,4,249,2,1,176,187,2019-2020
310,Chris Mepham,12,1,0,1,0,434,505,7,2,10.5,0,20,14,17,645,5,3,411,380,2019-2020
311,Max Meyer,17,0,0,1,0,158,211,9,2,17.8,0,19,18,6,289,13,6,179,211,2019-2020
312,Luka Milivojević,31,3,1,12,0,1213,1585,29,7,28.4,11,61,84,30,1844,11,7,829,1000,2019-2020
313,James Milner,22,2,2,4,0,682,804,10,2,24.5,0,16,26,12,888,11,10,621,648,2019-2020
314,Yerry Mina,29,2,1,3,0,1141,1371,29,11,10.7,0,39,24,20,1632,8,6,980,986,2019-2020
315,Takumi Minamino,10,0,0,0,0,96,108,8,2,19.5,0,3,10,3,146,10,4,108,121,2019-2020
316,Tyrone Mings,33,2,2,7,0,1085,1400,8,3,9.9,0,15,13,56,1754,12,12,987,1007,2019-2020
317,Tyrick Mitchell,4,0,0,1,0,103,127,0,0,,0,5,7,2,151,3,1,76,85,2019-2020
318,Henrikh Mkhitaryan,3,0,0,1,0,56,76,2,0,13.5,0,0,2,3,94,7,2,48,75,2019-2020
319,Nacho Monreal,3,0,0,0,0,178,207,1,0,9.8,0,1,3,3,233,4,2,128,159,2019-2020
320,Martín Montoya,27,0,1,5,0,992,1278,8,3,16.1,0,57,56,19,1512,29,10,709,913,2019-2020
321,Simon Moore,2,0,0,0,0,19,48,0,0,,0,1,1,0,51,0,0,18,10,2019-2020
322,Aaron Mooy,31,2,2,3,1,818,1092,33,8,20.9,0,37,40,36,1362,56,38,765,929,2019-2020
323,Wesley Moraes,21,5,1,3,0,265,379,34,17,12.6,0,15,5,10,577,24,12,303,441,2019-2020
324,Wes Morgan,11,0,0,0,0,218,247,4,2,10.0,0,4,3,5,292,2,2,176,196,2019-2020
325,Ravel Morrison,1,0,0,0,0,5,6,1,0,12.9,0,0,0,0,7,0,0,5,6,2019-2020
326,Mason Mount,37,7,5,3,0,1108,1394,78,29,20.6,12,37,42,25,1735,71,40,1094,1236,2019-2020
327,Lucas Moura,35,4,4,3,0,575,802,56,14,17.5,0,57,58,29,1175,109,72,794,827,2019-2020
328,Lys Mousset,30,6,4,1,0,170,246,37,9,16.2,0,9,7,3,426,41,28,260,315,2019-2020
329,João Moutinho,38,1,6,7,0,1647,2071,22,6,25.0,4,93,139,43,2327,21,15,1083,1367,2019-2020
330,Glenn Murray,23,1,1,0,0,104,173,18,5,13.9,0,5,9,6,255,5,0,122,203,2019-2020
331,Shkodran Mustafi,15,0,1,2,0,693,848,11,3,9.4,0,17,12,10,988,3,3,629,680,2019-2020
332,Yoshinori Mutō,8,0,0,0,0,27,33,1,0,10.0,0,3,2,0,56,9,5,41,38,2019-2020
333,Georges-Kévin N'Koudou,1,0,0,0,0,0,0,1,0,17.7,0,0,1,0,1,0,0,1,1,2019-2020
334,Marvelous Nakamba,29,0,0,5,0,663,793,7,1,29.6,0,55,67,50,1042,19,14,478,543,2019-2020
335,Wilfred Ndidi,32,2,1,6,0,1421,1674,26,3,19.2,0,128,91,52,2110,32,22,1146,1227,2019-2020
336,Tanguy Ndombele,21,2,2,3,0,543,648,9,4,25.6,0,24,22,20,781,49,38,525,574,2019-2020
337,Reiss Nelson,17,1,0,1,0,186,232,11,4,17.4,0,11,17,13,318,32,17,210,234,2019-2020
338,Pedro Neto,29,3,3,3,0,303,400,17,6,16.9,0,9,15,2,548,61,32,355,380,2019-2020
339,Rúben Neves,38,2,2,9,0,1635,2070,61,10,28.0,7,62,86,38,2374,26,22,1232,1559,2019-2020
340,Jeremy Ngakia,5,0,0,0,0,87,163,1,1,33.2,0,15,21,6,225,14,9,92,84,2019-2020
341,Oumar Niasse,3,0,0,0,0,3,4,0,0,,0,4,0,0,12,0,0,10,10,2019-2020
342,Eddie Nketiah,13,2,0,0,1,105,141,15,5,12.2,0,7,6,9,218,17,10,153,169,2019-2020
343,Mark Noble,33,4,3,5,0,1270,1565,14,3,25.8,0,52,64,20,1774,35,25,1019,1192,2019-2020
344,Oliver Norwood,38,1,1,8,0,1710,2222,16,5,27.8,4,66,97,34,2465,9,9,1023,1487,2019-2020
345,Ørjan Nyland,7,0,0,0,0,105,182,0,0,,0,0,0,0,191,0,0,91,70,2019-2020
