,Player Name_x,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Shot,SOT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
405,Jaïro Riedewald,3,0,0,0,0,47,56,0,0,,0,1,2,1,65,2,1,39,43,2021-2022
406,Matt Ritchie,18,0,2,5,0,510,714,10,1,22.4,1,22,27,10,828,6,4,372,409,2021-2022
407,Connor Roberts,21,1,1,2,0,579,863,6,4,21.7,0,20,15,25,1045,12,6,443,502,2021-2022
408,Tyler Roberts,23,1,1,5,0,214,300,30,12,19.7,0,16,16,11,430,22,12,252,293,2021-2022
409,Andrew Robertson,29,3,10,5,1,1885,2350,18,8,16.9,0,36,35,24,2556,23,13,1436,1731,2021-2022
410,Joe Rodon,3,0,0,0,0,29,35,0,0,,0,0,0,2,46,0,0,22,24,2021-2022
411,Rodri,33,7,2,5,0,2640,2887,45,14,19.8,0,72,59,28,3171,22,12,2003,2429,2021-2022
412,Rodrigo,31,6,1,9,0,682,914,46,17,18.9,0,20,32,12,1160,42,22,670,859,2021-2022
413,Jay Rodriguez,29,2,2,3,0,185,313,41,11,15.1,0,20,14,19,492,15,8,230,336,2021-2022
414,Mads Roerslev,21,1,1,1,0,230,358,5,2,17.4,0,23,32,14,493,15,4,244,259,2021-2022
415,Cristian Romero,22,1,0,8,0,1149,1325,6,2,13.9,0,62,34,46,1581,14,9,997,1044,2021-2022
416,Oriol Romeu,36,2,2,9,0,1377,1691,24,4,22.4,0,77,73,39,2016,40,30,1036,1243,2021-2022
417,Cristiano Ronaldo,30,18,3,8,0,726,904,107,39,15.5,8,8,6,8,1168,32,20,631,952,2021-2022
418,Salomón Rondón,20,1,1,3,1,117,193,21,6,12.0,0,6,14,5,285,10,4,129,205,2021-2022
419,Danny Rose,8,0,0,4,0,227,340,4,1,20.6,0,16,24,8,409,15,9,176,174,2021-2022
420,Jon Rowe,13,0,1,0,0,48,72,3,2,16.1,0,3,3,7,112,13,4,76,77,2021-2022
421,John Ruddy,2,0,0,0,0,22,33,0,0,,0,0,0,0,39,0,0,13,11,2021-2022
