,Player Name_x,MP,Gls,Ast,CRDY,CRDR,Cmp,Att,shot,SoT,Dist,FK,TKL,Dribbles,Blocks,Touches,DAttp,Succ,Carries,Receiving,season
241,Daniel Iversen,12,0,0,0,0,212,377,0,0,,0,0,0,0,411,0,0,177,136,2022-2023
242,Alex Iwobi,38,2,7,2,0,1154,1536,42,15,21.0,0,69,65,41,1912,110,55,1169,1285,2022-2023
243,Daniel James,4,0,0,0,0,24,40,3,1,17.6,0,6,6,4,66,6,1,35,39,2022-2023
244,Daniel James,20,2,1,0,0,120,186,14,3,13.0,0,9,8,5,254,14,5,156,173,2022-2023
245,Reece James,16,1,1,4,0,891,1051,16,4,22.4,2,31,19,17,1187,40,22,710,813,2022-2023
246,Vitaly Janelt,35,3,1,3,0,812,1020,14,5,15.8,0,54,49,29,1244,24,9,663,737,2022-2023
247,Pontus Jansson,12,1,0,0,0,257,321,4,2,9.9,0,5,5,13,393,2,2,192,217,2022-2023
248,Mathias Jensen,37,5,6,5,0,1088,1566,23,7,22.0,4,70,97,54,1890,61,24,900,1011,2022-2023
249,Gabriel Jesus,26,11,6,6,0,561,699,76,31,10.6,0,33,31,27,1080,111,44,642,799,2022-2023
250,Raúl Jiménez,15,0,1,0,0,140,198,20,9,14.5,0,9,6,9,293,10,5,146,219,2022-2023
251,Joelinton,32,6,1,12,0,1035,1268,51,19,14.6,0,70,62,52,1703,111,53,897,1115,2022-2023
252,Ben Johnson,17,0,0,0,0,395,535,2,1,21.2,0,20,18,12,627,17,8,276,335,2022-2023
253,Brennan Johnson,38,8,3,6,0,291,505,52,24,16.6,0,34,28,30,806,88,33,450,507,2022-2023
254,Sam Johnstone,9,0,0,1,0,207,280,0,0,,0,0,0,0,298,0,0,188,156,2022-2023
255,Curtis Jones,18,3,1,2,0,611,677,15,5,17.9,0,34,31,12,821,30,11,550,627,2022-2023
256,Jorginho,14,0,1,0,0,641,736,6,0,22.3,0,18,24,7,807,10,3,523,629,2022-2023
257,Jorginho,18,2,0,4,0,749,884,3,1,34.1,0,42,46,18,1026,12,5,546,706,2022-2023
258,Mateo Joseph,3,0,0,0,0,2,3,1,1,15.4,0,0,0,1,9,1,0,5,6,2022-2023
259,Diogo Jota,22,7,4,2,0,286,381,35,11,11.7,0,23,37,5,550,39,14,339,403,2022-2023
260,Hamed Junior Traorè,7,0,0,0,0,109,178,6,0,17.1,1,17,18,9,246,25,16,143,142,2022-2023
261,James Justin,14,0,0,0,0,667,819,5,0,23.4,0,20,14,24,980,19,4,417,574,2022-2023
262,Mathias Jørgensen,18,0,0,2,0,404,503,5,1,7.8,0,17,21,19,612,1,0,295,321,2022-2023
263,Sasa Kalajdzic,1,0,0,0,0,2,4,1,0,4.4,0,0,0,0,7,0,0,2,5,2022-2023
264,Boubacar Kamara,24,0,1,4,0,798,941,4,1,29.7,0,58,56,38,1145,35,16,622,713,2022-2023
265,Harry Kane,38,30,3,6,0,642,921,124,54,16.0,3,15,21,27,1328,108,40,834,1031,2022-2023
